s_merge_id,classroom_id,student_id,friend_1,friend_2,friend_3,support_1,support_2,support_3,el
112776_145,1127762,1127762145,1127762178,1127762185,1127762148,1127762178,1127762185,1127762148,yes
112677_118,1126771,1126771118,1126771113,1126771106,1126771114,1126771113,1126771106,1126771114,yes
112734_113,1127341,1127341113,1127341145,1127341119,1127341122,1127341120,1127341117,1127341158,yes
112765_200,1127651,1127651200,1127651216,1127651168,1127651199,1127651216,1127651168,1127651199,yes
112794_125,1127941,1127941125,1127941197,1127941116,1127941122,1127941197,1127941116,1127941122,yes
112735_123,1127351,1127351123,1127351126,1127351147,1127351176,1127351126,1127351147,,yes
112663_114,1126631,1126631114,1126631119,1126631132,,1126631158,1126631179,,yes
112776_195,1127762,1127762195,1127762103,1127762107,1127762168,1127762162,1127762163,1127762185,yes
112540_231,1125403,1125403231,1125403236,1125403223,1125403176,1125403176,1125403320,1125403236,yes
112789_181,1127891,1127891181,1127891123,1127891158,1127891198,1127891123,1127891156,1127891158,yes
112623_170,1126231,1126231170,1126231162,1126231107,1126231163,1126231163,1126231122,1126231102,yes
112544_165,1125441,1125441165,1125441114,1125441166,1125441153,1125441153,1125441166,1125441114,yes
112739_194,1127392,1127392194,1127392163,1127392191,1127392164,1127392164,1127392191,1127392173,yes
112776_201,1127762,1127762201,1127762149,1127762169,1127762188,1127762149,1127762169,1127762188,yes
112665_123,1126651,1126651123,1126651107,1126651114,1126651121,1126651106,1126651119,1126651117,yes
112765_205,1127651,1127651205,1127651114,1127651108,,1127651160,1127651125,1127651123,yes
112792_185,1127921,1127921185,1127921158,1127921156,1127921164,1127921158,1127921156,1127921164,yes
112675_271,1126751,1126751271,1126751105,1126751257,,1126751105,1126751297,,yes
112545_248,1125452,1125452248,1125452194,1125452256,1125452107,1125452107,1125452194,1125452256,yes
112726_233,1127261,1127261233,,,,,,,yes
134399_137,1343991,1343991137,1343991153,1343991167,1343991124,1343991153,1343991165,1343991124,yes
112595_183,1125951,1125951183,1125951156,,,1125951156,,,yes
112620_153,1126201,1126201153,1126201154,1126201160,1126201144,1126201154,1126201157,1126201159,yes
112675_174,1126751,1126751174,1126751257,1126751158,1126751240,1126751257,1126751158,1126751240,yes
112549_101,1125491,1125491101,1125491136,1125491109,1125491181,1125491136,1125491152,1125491109,yes
112549_182,1125491,1125491182,1125491161,1125491120,1125491111,1125491120,1125491111,1125491161,yes
112671_280,1126713,1126713280,1126713241,1126713240,1126713263,1126713240,1126713134,,yes
112671_476,1126711,1126711476,1126711205,1126711255,1126711427,1126711427,1126711205,1126711255,yes
