fs_classroom,s_merge_id,treatment,subdistrict,bs_specialchild,es_phase2_cohort,el_cohort2_cmsize,el_religion,split_status,merge_status,fs_school_id,fl,classroom_id,fs_student_id,girls_school,girls_section,boys_section,bs_male,bs_male_share,bs_age,bs_working_mom,bs_working_dad,bs_siblings,bs_with_mom,bs_with_dad,high_eyes,bs_score_eye_sd,high_raven,bs_score_raven_sd,high_math,high_bangla,bs_parenting_dad_sd,bs_parenting_mom_sd,bt_raven_avg_sd,bt_compclass_avg_m_sd,bt_compclass_avg_b_sd,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1126852,112685_146,control,Narsingdi Sadar Upazila,No,no,93,Muslim,No,No,112685,1,1126852,1126852274,no,0,0,no,.4838709677419355,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,.8072623816784059,.8965743720135092,.119055531298131,1126852266,1126852272,1126852216,1126852266,1126852272,1126852246
1126951,112695_208,treatment,Narsingdi Sadar Upazila,No,no,113,Muslim,No,Yes,112695,1,1126951,1126951210,yes,1,0,no,0,12,no,yes,2,yes,yes,yes,1.307569611309109,yes,1.639419562731455,yes,yes,.9814001656859502,.8498251000433344,2.480322181696521,.0082728925171823,.119055531298131,1126951250,1126951264,1126951244,1126951250,1126951264,1126951243
1127221,112722_207,control,Palash Upazila,No,no,124,Muslim,No,No,112722,1,1127221,1127221231,no,0,0,yes,.4919354838709677,15,no,yes,2,yes,yes,no,-.6596747588586495,no,-.3954074448633285,no,no,-1.375171597437619,-1.1873554408582,2.703396821698936,.8965743720135092,-5.270377560099123,1127221248,1127221250,1127221251,1127221248,1127221250,1127221251
1127231,112723_256,control,Palash Upazila,No,yes,92,Muslim,Yes,No,112723,1,1127231,1127231255,no,0,0,yes,.5760869565217391,14,no,yes,1,yes,yes,yes,.3239474262252297,yes,.7673508451908334,yes,yes,-1.375171597437619,.442388991863028,1.977591175473651,-2.143652696478052,.8904913114370949,1127231262,1127231254,1127231268,1127231254,1127231268,1127231262
1127232,112723_403,control,Palash Upazila,No,yes,92,Muslim,Yes,No,112723,1,1127231,1127232242,no,0,0,no,.5760869565217391,12,no,yes,2,yes,yes,yes,.3239474262252297,yes,.7673508451908334,no,yes,-1.767933557958214,.0349528836827207,1.977591175473651,-2.143652696478052,.8904913114370949,1127232226,1127232235,1127232279,1127232227,1127232274,1127232216
1127233,112723_192,control,Palash Upazila,No,yes,55,Muslim,Yes,No,112723,1,1127234,1127233223,no,0,0,yes,.5636363636363636,13,no,yes,2,yes,yes,no,-.1678636663167099,yes,1.348729990217914,yes,yes,-.1968857158758349,-1.594791549038507,1.977591175473651,.0771010022627653,-.1521997773123651,1127233259,1127233281,1127233260,1127233244,1127233215,1127233222
1127234,112723_260,control,Palash Upazila,No,yes,55,Muslim,Yes,No,112723,1,1127234,1127234276,no,0,0,no,.5636363636363636,14,no,yes,3,yes,yes,yes,1.307569611309109,no,-.3954074448633285,no,yes,.1958762446447604,1.257261208223642,1.977591175473651,.0771010022627653,-.1521997773123651,1127234275,1127234263,1127234251,1127234240,1127234229,1127234275
1127261,112726_186,treatment,Palash Upazila,No,no,135,Muslim,No,No,112726,1,1127261,1127261214,no,0,0,yes,.5111111111111111,12,no,yes,2,yes,yes,no,-.6596747588586495,no,-.3954074448633285,no,yes,1.374162126206546,1.257261208223642,2.257247541694106,.0082728925171823,.119055531298131,1127261289,1127261295,1127261263,1127261207,1127261243,1127261267
1127293,112729_162,treatment,Palash Upazila,No,no,81,Muslim,No,No,112729,1,1127291,1127293254,no,0,0,no,.382716049382716,13,no,yes,4,yes,yes,no,-.1678636663167099,no,-1.55816573491749,yes,yes,-.5896476763964293,.8498251000433344,3.707232701709805,.8965743720135092,.119055531298131,1127293223,1127293238,1127293221,1127293223,1127293221,1127293238
1127303,112730_103,control,Palash Upazila,No,no,115,Muslim,No,No,112730,1,1127301,1127303225,no,0,0,yes,1,12,no,yes,2,yes,yes,no,-.6596747588586495,no,-.104717872349788,no,yes,.1958762446447604,.0349528836827207,2.591859501697729,.4142764573568108,.119055531298131,1127303224,1127303231,1127303233,1127303229,1127303222,
1127311,112731_119,treatment,Palash Upazila,No,no,87,Muslim,No,No,112731,1,1127311,1127311227,no,0,0,no,.5977011494252874,12,no,yes,1,yes,yes,no,-1.151485851400589,yes,.7673508451908334,yes,yes,.1958762446447604,.0349528836827207,2.926471461701352,-.4358778472309812,-1.099613205101284,1127311217,1127311223,1127311225,1127311217,1127311223,1127311225
1127312,112731_145,treatment,Palash Upazila,No,no,87,Non-muslim,No,No,112731,1,1127311,1127312268,no,0,0,yes,.5977011494252874,13,no,yes,3,yes,yes,no,-.1678636663167099,yes,.476661272677293,yes,no,-.1968857158758349,-.3724832244975866,2.926471461701352,-.4358778472309812,-1.099613205101284,1127312252,1127312254,1127312270,1127312271,1127312254,1127312247
1127322,112732_109,control,Palash Upazila,No,yes,58,Muslim,No,No,112732,1,1127321,1127322231,yes,1,0,no,0,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,2.312203135477275,.5212517420109287,.119055531298131,1127322239,1127322212,1127322207,1127322212,1127322239,1127322216
1127341,112734_183,control,Palash Upazila,No,no,97,Muslim,No,Yes,112734,1,1127341,1127341217,no,0,0,no,.4536082474226804,12,no,yes,3,yes,yes,no,-.1678636663167099,yes,1.058040417704374,no,yes,.5886382051653558,-.3724832244975866,.0265011416699522,.8965743720135092,-3.706340926974934,1127341229,1127341231,1127341269,1127341229,1127341231,1127341269
1127353,112735_126,treatment,Palash Upazila,No,no,47,Muslim,No,No,112735,1,1127351,1127353234,no,1,0,no,0,12,no,no,3,yes,yes,no,-1.151485851400589,yes,.7673508451908334,yes,no,1.374162126206546,.442388991863028,3.48415806170739,-.4358778472309812,.119055531298131,1127353228,1127353223,1127353214,1127353241,,
1127361,112736_154,control,Palash Upazila,No,no,76,Muslim,No,No,112736,1,1127361,1127361209,no,0,0,no,.5263157894736842,13,no,yes,2,yes,yes,no,-1.643296943942528,no,-1.26747616240395,no,no,-1.375171597437619,-.3724832244975866,3.038008781702559,-.4358778472309812,.119055531298131,1127361220,1127361213,1127361210,1127361207,1127361205,1127361202
1127391,112739_195,treatment,Palash Upazila,No,no,44,Muslim,Yes,No,112739,1,1127392,1127391237,no,0,0,yes,.5909090909090909,12,no,yes,2,yes,yes,yes,.8157585187671692,yes,1.058040417704374,yes,yes,-.5896476763964293,-1.594791549038507,3.372620741706182,.4142764573568108,-1.099613205101284,1127391212,1127391209,1127391231,1127391215,1127391231,1127391244
1127392,112739_187,treatment,Palash Upazila,No,no,44,Muslim,Yes,No,112739,1,1127392,1127392238,no,0,0,no,.5909090909090909,12,no,yes,1,yes,no,no,-.6596747588586495,yes,.1859717001637525,yes,yes,.9814001656859502,.8498251000433344,3.372620741706182,.4142764573568108,-1.099613205101284,1127392203,1127392247,1127392234,1127392203,,
1127602,112760_120,treatment,Palash Upazila,No,yes,46,Muslim,No,No,112760,1,1127602,1127602232,no,1,0,no,0,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,2.53527777547969,.5212517420109287,.119055531298131,1127602230,1127602222,1127602220,1127602230,1127602222,1127602220
1127642,112764_709,control,Raipura Upazila,No,no,124,Muslim,No,No,112764,1,1127642,1127642247,no,0,0,no,.4354838709677419,13,no,yes,2,yes,yes,yes,.3239474262252297,yes,.476661272677293,no,yes,-.5896476763964293,-1.1873554408582,3.149546101703767,.8965743720135092,.119055531298131,1127642222,1127642205,1127642226,1127642205,1127642222,1127642217
