fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125391,112539,1,1125391219,1125391227,1125391249,1125391257,1125391227,1125391225,1125391201
1125391,112539,1,1125391247,1125391251,1125391219,1125391227,1125391251,1125391252,1125391219
1125391,112539,1,1125391258,1125391206,1125391208,1125391232,1125391206,1125391208,1125391204
1125391,112539,1,1125391228,1125391213,1125391214,1125391235,1125391202,1125391204,1125391201
1125391,112539,1,1125391222,1125391227,1125391219,1125391240,1125391227,1125391219,1125391256
1125401,112540,1,1125401222,1125401210,1125401203,,1125401210,1125401203,1125401201
1125401,112540,1,1125401258,1125401246,1125401264,1125401265,1125401246,1125401232,1125401233
1125401,112540,1,1125401245,1125401238,1125401236,1125401235,1125401239,1125401238,1125401235
1125401,112540,1,1125401261,1125401259,1125401260,1125401263,1125401263,1125401260,1125401259
1125401,112540,1,1125401221,1125401201,1125401202,1125401205,1125401202,,
1125401,112540,1,1125401239,1125401238,1125401232,1125401244,1125401238,1125401232,1125401244
1125401,112540,1,1125401264,1125401242,1125401249,1125401248,1125401242,1125401246,1125401249
1125401,112540,1,1125401257,1125401237,1125401256,,1125401237,1125401256,
1125401,112540,1,1125401252,1125401243,1125401241,1125401231,1125401243,1125401241,1125401245
1125401,112540,1,1125401226,1125401204,1125401203,1125401211,1125401204,1125401203,1125401211
1125401,112540,1,1125401262,1125401265,1125401267,1125401255,1125401265,1125401260,
1125401,112540,1,1125401259,1125401260,1125401261,1125401263,1125401261,1125401263,1125401260
1125401,112540,1,1125401228,1125401211,1125401217,1125401231,1125401211,1125401226,1125401219
1125401,112540,1,1125401217,1125401201,1125401207,1125401211,1125401201,1125401207,1125401211
1125402,112540,1,1125402217,1125402209,1125402223,,1125402209,1125402223,1125402220
1125402,112540,1,1125402218,1125402220,1125402230,1125402213,1125402213,1125402223,1125402214
1125402,112540,1,1125402220,1125402201,1125402213,1125402218,1125402229,1125402217,1125402230
1125402,112540,1,1125402213,1125402201,1125402203,1125402212,1125402204,1125402201,1125402203
1125402,112540,1,1125402216,1125402210,1125402224,,1125402210,1125402219,1125402221
1125402,112540,1,1125402231,1125402232,1125402237,1125402241,1125402232,1125402237,1125402241
1125402,112540,1,1125402260,1125402259,1125402264,1125402261,1125402267,1125402266,1125402259
1125402,112540,1,1125402258,1125402246,1125402253,1125402257,1125402262,1125402251,1125402249
1125402,112540,1,1125402202,1125402201,1125402211,1125402205,1125402203,1125402206,1125402209
1125402,112540,1,1125402265,1125402251,1125402256,1125402267,1125402266,1125402267,1125402256
1125402,112540,1,1125402223,1125402209,1125402210,1125402224,1125402209,1125402210,1125402224
1125402,112540,1,1125402207,1125402206,1125402208,1125402209,1125402206,1125402216,1125402201
1125402,112540,1,1125402247,1125402240,1125402244,1125402242,1125402240,1125402244,1125402249
1125402,112540,1,1125402245,1125402235,1125402236,1125402254,1125402246,1125402231,1125402241
1125402,112540,1,1125402204,1125402205,1125402203,1125402213,1125402203,1125402205,1125402213
1125402,112540,1,1125402256,1125402251,1125402265,1125402232,1125402231,1125402265,1125402251
1125402,112540,1,1125402267,1125402266,1125402257,1125402265,1125402266,1125402265,1125402260
1125402,112540,1,1125402210,1125402209,1125402223,1125402216,1125402209,1125402223,1125402216
1125402,112540,1,1125402248,1125402261,1125402256,1125402259,1125402231,1125402232,1125402235
1125403,112540,1,1125403223,1125403226,1125403231,1125403202,1125403226,1125403206,1125403224
1125403,112540,1,1125403248,1125403245,1125403246,1125403235,1125403235,1125403250,1125403263
1125403,112540,1,1125403249,1125403253,,,1125403253,1125403207,1125403236
1125403,112540,1,1125403231,1125403212,1125403230,1125403223,1125403207,1125403216,1125403217
1125403,112540,1,1125403253,1125403249,,,1125403249,1125403229,
1125403,112540,1,1125403216,1125403204,1125403203,1125403215,1125403215,1125403204,1125403203
1125403,112540,1,1125403211,1125403205,1125403207,1125403201,1125403209,1125403207,1125403205
1125403,112540,1,1125403220,1125403208,1125403217,1125403214,1125403201,1125403214,1125403208
1125403,112540,1,1125403230,1125403233,1125403231,1125403229,1125403207,1125403209,1125403211
1125403,112540,1,1125403234,1125403232,1125403229,1125403226,1125403213,1125403210,1125403205
1125403,112540,1,1125403241,1125403240,1125403243,1125403207,1125403240,1125403243,1125403207
1125403,112540,1,1125403232,1125403204,1125403226,1125403203,1125403202,1125403209,1125403201
1125403,112540,1,1125403220,1125403265,1125403262,1125403263,1125403262,1125403265,1125403254
1125431,112543,1,1125431253,1125431239,,,1125431229,1125431254,1125431207
1125431,112543,1,1125431268,1125431202,1125431214,1125431225,1125431201,1125431214,1125431225
1125431,112543,1,1125431205,1125431256,1125431248,1125431232,1125431256,1125431248,1125431232
1125431,112543,1,1125431212,1125431201,1125431244,1125431202,1125431225,1125431202,1125431227
1125431,112543,1,1125431221,1125431208,1125431252,,1125431208,1125431229,1125431234
1125431,112543,1,1125431254,1125431229,1125431234,1125431225,1125431229,1125431242,1125431264
1125431,112543,1,1125431240,1125431264,1125431222,1125431242,1125431264,1125431242,1125431222
1125431,112543,1,1125431241,1125431235,1125431237,1125431252,1125431237,1125431235,1125431221
1125431,112543,1,1125431227,1125431211,1125431253,1125431225,1125431244,1125431225,1125431211
1125431,112543,1,1125431269,1125431266,1125431243,1125431221,1125431259,1125431229,1125431208
1125431,112543,1,1125431239,1125431253,1125431255,1125431231,1125431244,1125431253,1125431214
1125431,112543,1,1125431213,1125431222,1125431229,1125431234,1125431229,1125431263,1125431259
1125431,112543,1,1125431204,1125431240,1125431222,1125431207,1125431229,1125431222,1125431254
1125431,112543,1,1125431203,1125431247,1125431228,1125431230,1125431247,1125431228,1125431230
1125431,112543,1,1125431266,1125431243,1125431260,1125431269,1125431229,1125431212,1125431232
1125431,112543,1,1125431237,1125431241,1125431232,1125431206,1125431242,1125431232,1125431229
1125431,112543,1,1125431231,1125431264,1125431255,1125431260,1125431229,1125431244,1125431204
1125431,112543,1,1125431230,1125431247,1125431203,1125431267,1125431262,1125431229,1125431247
1125431,112543,1,1125431222,1125431207,1125431264,1125431240,1125431264,1125431229,1125431254
1125431,112543,1,1125431265,1125431231,1125431229,1125431255,1125431229,1125431231,1125431214
1125431,112543,1,1125431201,1125431244,1125431225,1125431212,1125431225,1125431214,1125431244
1125431,112543,1,1125431267,1125431203,1125431230,1125431247,1125431203,1125431230,1125431247
1125431,112543,1,1125431211,1125431227,1125431253,1125431214,1125431225,1125431227,1125431244
1125431,112543,1,1125431243,1125431237,1125431269,1125431266,1125431229,1125431237,1125431232
1125432,112543,1,1125432252,1125432232,1125432230,1125432262,1125432219,1125432225,1125432232
1125432,112543,1,1125432234,1125432242,1125432250,,1125432242,1125432250,
1125432,112543,1,1125432243,1125432266,1125432218,1125432252,1125432219,1125432225,1125432237
1125432,112543,1,1125432224,1125432251,1125432263,,1125432251,1125432263,
1125432,112543,1,1125432242,1125432234,1125432250,,1125432219,1125432234,
1125432,112543,1,1125432230,1125432232,1125432252,1125432257,1125432246,1125432242,
1125432,112543,1,1125432244,1125432220,1125432222,1125432273,1125432220,1125432222,1125432241
1125432,112543,1,1125432257,1125432230,1125432232,1125432252,1125432253,,
1125441,112544,1,1125441241,1125441231,1125441263,1125441265,1125441263,1125441265,1125441257
1125441,112544,1,1125441234,1125441242,1125441226,1125441255,1125441242,1125441247,1125441264
1125441,112544,1,1125441231,1125441233,1125441241,1125441263,1125441257,1125441263,1125441241
1125441,112544,1,1125441220,1125441241,1125441263,1125441207,1125441263,1125441257,1125441241
1125441,112544,1,1125441236,1125441202,1125441247,1125441257,1125441202,1125441257,1125441247
1125441,112544,1,1125441244,1125441212,1125441261,1125441209,1125441212,1125441239,1125441230
1125441,112544,1,1125441254,1125441223,1125441227,1125441260,1125441227,1125441242,
1125441,112544,1,1125441213,1125441211,1125441241,1125441233,1125441211,1125441242,1125441243
1125441,112544,1,1125441268,1125441229,1125441244,1125441258,1125441230,1125441239,1125441209
1125441,112544,1,1125441249,1125441212,1125441239,1125441244,1125441230,1125441261,1125441258
1125441,112544,1,1125441211,1125441241,1125441213,1125441231,1125441241,,1125441231
1125441,112544,1,1125441265,1125441263,1125441241,1125441257,1125441263,1125441257,1125441241
1125441,112544,1,1125441228,1125441229,1125441230,1125441258,1125441225,1125441258,
