classroom_id,s_merge_id,bs_m_score,school_id,student_id,high_eyes,high_raven,bs_b_score,high_bangla,high_math,friend_1,friend_2,friend_3,support_1,support_2,support_3
1127892.0,112789_141,,112789.0,1127892238.0,no,no,,no,no,1127892216.0,1127892204.0,1127892202.0,1127892235.0,1127892248.0,1127892239.0
1127901.0,112790_198,,,1127901.0,no,no,,no,no,,,,,,
1127902.0,112790_196,5.0,112790.0,1127902253.0,no,yes,18.0,yes,no,1127902275.0,1127902268.0,1127902221.0,1127902206.0,1127902267.0,1127902205.0
1127911.0,112791_111,4.0,112791.0,1127911266.0,no,no,13.0,no,no,1127911224.0,1127911288.0,1127911297.0,1127911224.0,1127911237.0,1127911249.0
1127921.0,112792_116,8.0,112792.0,1127921238.0,no,yes,17.0,yes,yes,1127921226.0,1127921221.0,,1127921235.0,1127921237.0,1127921221.0
1127931.0,112793_159,2.0,112793.0,1127931210.0,no,yes,11.0,no,no,1127931236.0,1127931201.0,1127931224.0,1127931236.0,1127931225.0,1127931201.0
1127941.0,112794_140,5.0,112794.0,1127941232.0,no,no,19.0,yes,no,,,,1127941256.0,,
1127951.0,112795_124,4.0,112795.0,1127951238.0,no,yes,10.0,no,no,1127951235.0,1127951250.0,1127951217.0,1127951235.0,1127951250.0,1127951217.0
1127952.0,112795_146,,112795.0,1127952224.0,no,no,,no,no,1127952211.0,1127952239.0,1127952225.0,1127952239.0,1127952225.0,1127952243.0
1127971.0,112797_120,4.0,112797.0,1127971218.0,yes,yes,16.0,no,no,1127971214.0,1127971220.0,,1127971220.0,1127971211.0,1127971203.0
1127981.0,112798_134,,,1127981.0,no,no,,no,no,,,,,,
1127982.0,112798_705,5.0,112798.0,1127982243.0,no,no,12.0,no,no,1127982213.0,1127982223.0,1127982224.0,1127982213.0,1127982214.0,
1128001.0,112800_188,6.0,,1128001.0,no,no,16.0,no,yes,,,,,,
1128021.0,112802_156,5.0,,1128021.0,yes,no,11.0,no,no,,,,,,
1128191.0,112819_138,7.0,112819.0,1128191216.0,yes,no,17.0,yes,yes,1128191218.0,1128191244.0,1128191234.0,1128191218.0,1128191234.0,1128191208.0
1128192.0,112819_716,5.0,112819.0,1128192221.0,no,yes,13.0,no,no,1128192228.0,1128192222.0,1128192225.0,1128192225.0,1128192228.0,1128192209.0
1128201.0,112820_117,5.0,112820.0,1128201229.0,yes,yes,14.0,no,no,1128201201.0,1128201203.0,1128201217.0,1128201206.0,1128201221.0,1128201223.0
1128202.0,112820_150,,,1128202.0,no,no,,no,no,,,,,,
1128251.0,112825_134,7.0,,1128251.0,yes,no,20.0,yes,yes,,,,,,
1128261.0,112826_162,,112826.0,1128261206.0,no,no,,no,no,1128261258.0,,,1128261258.0,1128261266.0,
1128301.0,112830_167,8.0,112830.0,1128301208.0,no,yes,21.0,yes,yes,1128301241.0,1128301283.0,1128301209.0,1128301283.0,1128301282.0,
1128321.0,112832_101,1.0,112832.0,1128321220.0,no,no,17.0,yes,no,1128321221.0,1128321211.0,1128321226.0,1128321221.0,1128321224.0,1128321226.0
1128322.0,112832_145,6.0,,1128322.0,yes,yes,21.0,yes,yes,,,,,,
1128351.0,112835_146,8.0,112835.0,1128351201.0,yes,yes,20.0,yes,yes,1128351202.0,1128351212.0,1128351203.0,1128351221.0,1128351227.0,1128351203.0
1128352.0,112835_148,11.0,112835.0,1128352234.0,yes,yes,21.0,yes,yes,1128352206.0,1128352265.0,1128352218.0,1128352218.0,,
1128371.0,112837_118,,112837.0,1128371233.0,no,no,,no,no,1128371212.0,1128371211.0,,1128371212.0,1128371206.0,
1128391.0,112839_146,6.0,112839.0,1128391238.0,yes,no,18.0,yes,yes,1128391206.0,1128391210.0,1128391235.0,1128391235.0,1128391210.0,1128391206.0
1128392.0,112839_188,6.0,112839.0,1128392223.0,no,no,16.0,no,yes,1128392205.0,1128392219.0,1128392241.0,1128392205.0,1128392224.0,1128392241.0
1128411.0,112841_141,3.0,112841.0,1128411208.0,yes,no,15.0,no,no,,,,1128411228.0,1128411220.0,1128411204.0
1128412.0,112841_118,4.0,112841.0,1128412234.0,yes,yes,20.0,yes,no,1128412227.0,1128412203.0,1128412231.0,1128412203.0,1128412231.0,
1128421.0,112842_158,4.0,112842.0,1128421218.0,yes,yes,13.0,no,no,1128421213.0,1128421245.0,1128421237.0,1128421213.0,1128421237.0,
1128431.0,112843_145,9.0,112843.0,1128431242.0,no,yes,20.0,yes,yes,1128431243.0,1128431262.0,1128431225.0,1128431243.0,1128431262.0,1128431225.0
1128441.0,112844_130,3.0,112844.0,1128441210.0,no,no,14.0,no,no,1128441218.0,1128441226.0,1128441203.0,1128441202.0,1128441212.0,1128441229.0
1128442.0,112844_146,6.0,,1128442.0,no,yes,4.0,no,yes,,,,,,
1128461.0,112846_125,5.0,,1128461.0,no,yes,16.0,no,no,,,,,,
1128462.0,112846_146,,,1128462.0,no,no,,no,no,,,,,,
1128481.0,112848_131,,112848.0,1128481254.0,no,no,,no,no,1128481248.0,1128481250.0,,1128481227.0,1128481225.0,1128481229.0
1128491.0,112849_106,2.0,112849.0,1128491221.0,yes,yes,18.0,yes,no,1128491220.0,1128491214.0,,1128491220.0,1128491214.0,
1128501.0,112850_117,,,1128501.0,no,no,,no,no,,,,,,
1128531.0,112853_108,3.0,112853.0,1128531206.0,no,yes,11.0,no,no,1128531207.0,1128531215.0,,1128531207.0,1128531215.0,
1128532.0,112853_115,,,1128532.0,no,no,,no,no,,,,,,
