fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125492,112549,1,1125492205,1125492231,1125492243,1125492229,1125492240,1125492202,1125492220
1125492,112549,1,1125492219,1125492233,1125492225,1125492202,1125492233,1125492225,1125492220
1125492,112549,1,1125492239,1125492214,1125492220,1125492233,1125492202,1125492214,1125492233
1125492,112549,1,1125492237,1125492233,1125492214,1125492203,1125492233,1125492222,1125492228
1125492,112549,1,1125492220,1125492239,1125492233,1125492214,1125492233,1125492239,1125492214
1125511,112551,1,1125511236,1125511251,1125511234,1125511240,1125511210,1125511251,1125511205
1125511,112551,1,1125511201,1125511251,1125511212,1125511267,1125511251,1125511212,1125511267
1125511,112551,1,1125511248,1125511251,1125511205,1125511234,1125511251,1125511240,1125511236
1125511,112551,1,1125511205,1125511248,1125511234,1125511262,1125511251,1125511254,1125511248
1125551,112555,1,1125551224,1125551229,1125551202,1125551212,1125551228,1125551227,1125551234
1125551,112555,1,1125551221,1125551211,1125551203,1125551214,1125551202,1125551206,1125551210
1125551,112555,1,1125551223,1125551206,1125551211,1125551203,1125551211,1125551203,1125551206
1125551,112555,1,1125551234,1125551208,1125551201,1125551228,1125551208,1125551220,1125551227
1125551,112555,1,1125551211,1125551214,1125551221,,1125551214,1125551221,1125551233
1125571,112557,1,1125571238,1125571223,1125571206,1125571233,1125571232,1125571223,1125571206
1125571,112557,1,1125571215,,,,1125571223,1125571239,
1125571,112557,1,1125571225,1125571209,,,1125571209,1125571215,
1125571,112557,1,1125571205,1125571233,1125571232,1125571241,1125571233,1125571232,1125571241
1125571,112557,1,1125571204,1125571206,1125571223,1125571238,1125571206,1125571203,1125571205
1125571,112557,1,1125571209,1125571225,,,1125571225,1125571224,1125571231
1125571,112557,1,1125571237,1125571245,1125571216,1125571223,1125571223,1125571203,1125571205
1125571,112557,1,1125571211,1125571223,1125571230,,1125571230,1125571223,1125571235
1125581,112558,1,1125581205,1125581211,1125581214,1125581221,1125581201,1125581202,1125581206
1125581,112558,1,1125581234,1125581223,1125581227,1125581257,1125581206,1125581227,1125581240
1125581,112558,1,1125581221,1125581205,1125581226,1125581260,1125581205,1125581208,1125581260
1125581,112558,1,1125581202,1125581201,1125581204,1125581211,,,
1125581,112558,1,1125581206,1125581216,1125581250,,1125581216,,
1125601,112560,1,1125601216,1125601202,1125601209,1125601227,1125601209,1125601224,1125601202
1125601,112560,1,1125601202,1125601234,1125601216,1125601224,1125601224,1125601234,1125601216
1125601,112560,1,1125601211,1125601203,1125601222,1125601237,1125601203,1125601237,
1125611,112561,1,1125611219,1125611221,1125611224,1125611210,1125611221,1125611224,1125611211
1125611,112561,1,1125611221,1125611211,1125611219,1125611224,1125611211,,
1125611,112561,1,1125611213,1125611219,1125611231,1125611221,1125611221,1125611211,1125611219
1125611,112561,1,1125611217,1125611231,1125611213,,1125611231,1125611213,
1125611,112561,1,1125611204,1125611235,1125611229,1125611221,1125611219,1125611221,
1125611,112561,1,1125611211,1125611221,1125611224,1125611219,1125611221,,
1125611,112561,1,1125611229,1125611204,1125611235,1125611209,1125611209,1125611204,1125611219
1125611,112561,1,1125611232,1125611216,1125611227,1125611236,1125611205,1125611211,1125611216
1125611,112561,1,1125611234,1125611230,1125611208,1125611210,1125611219,1125611211,1125611208
1125611,112561,1,1125611224,1125611209,1125611210,1125611211,1125611219,1125611231,1125611221
1125821,112582,1,1125821263,1125821212,1125821243,1125821249,1125821212,1125821243,1125821251
1125821,112582,1,1125821208,1125821239,1125821265,,1125821227,1125821265,
1125821,112582,1,1125821213,1125821216,1125821221,1125821227,1125821227,1125821204,1125821221
1125821,112582,1,1125821227,1125821253,1125821204,1125821250,1125821253,1125821213,1125821222
1125821,112582,1,1125821265,1125821239,1125821208,,1125821227,1125821239,1125821208
1125821,112582,1,1125821233,1125821249,1125821243,1125821212,1125821212,1125821243,1125821250
1125821,112582,1,1125821211,1125821238,1125821247,1125821217,1125821238,,
1125821,112582,1,1125821220,1125821201,1125821232,1125821263,1125821250,1125821253,
1125821,112582,1,1125821229,1125821204,1125821227,1125821213,1125821204,1125821227,1125821213
1125821,112582,1,1125821318,1125821307,1125821302,1125821300,1125821307,1125821304,1125821302
1125821,112582,1,1125821239,1125821208,1125821265,,1125821227,1125821208,1125821265
1125821,112582,1,1125821240,1125821215,1125821218,1125821257,1125821215,1125821218,1125821256
1125821,112582,1,1125821201,1125821224,1125821260,1125821246,1125821224,1125821260,1125821246
1125821,112582,1,1125821202,1125821222,1125821250,,1125821222,1125821227,1125821250
1125821,112582,1,1125821215,1125821257,1125821218,1125821240,1125821240,1125821218,1125821257
1125821,112582,1,1125821218,1125821215,1125821240,1125821257,1125821215,1125821240,1125821257
1125821,112582,1,1125821204,1125821227,1125821229,1125821213,1125821227,1125821213,1125821229
1125821,112582,1,1125821231,1125821261,1125821207,1125821262,1125821261,1125821207,1125821232
1125821,112582,1,1125821249,1125821205,1125821212,1125821235,1125821243,1125821212,1125821253
1125821,112582,1,1125821253,1125821227,1125821222,1125821250,1125821212,1125821243,
1125821,112582,1,1125821262,1125821261,1125821245,1125821207,1125821261,1125821245,1125821207
1125821,112582,1,1125821235,1125821249,1125821243,1125821218,1125821202,1125821233,1125821243
1125821,112582,1,1125821300,1125821305,1125821306,1125821302,1125821301,1125821306,1125821302
1125821,112582,1,1125821248,1125821206,1125821214,1125821260,1125821227,1125821253,1125821213
1125821,112582,1,1125821254,1125821253,,,1125821253,1125821227,
1125821,112582,1,1125821252,1125821238,,,1125821253,1125821227,
1125841,112584,1,1125841245,1125841260,1125841210,1125841215,1125841254,1125841253,1125841215
1125841,112584,1,1125841221,1125841223,,,1125841223,1125841248,1125841212
1125841,112584,1,1125841265,1125841268,1125841266,1125841258,1125841273,1125841259,1125841268
1125841,112584,1,1125841207,1125841224,1125841209,1125841216,1125841224,1125841236,1125841268
1125841,112584,1,1125841223,1125841221,,,1125841221,1125841212,1125841269
1125841,112584,1,1125841266,1125841268,1125841265,1125841258,1125841258,1125841268,1125841265
1125841,112584,1,1125841218,1125841212,1125841221,1125841248,1125841269,1125841224,1125841202
1125841,112584,1,1125841216,1125841209,1125841235,1125841219,1125841235,1125841209,1125841207
1125841,112584,1,1125841239,1125841261,1125841253,,1125841274,1125841261,1125841253
1125841,112584,1,1125841229,1125841255,1125841230,1125841239,1125841255,1125841244,1125841253
1125841,112584,1,1125841259,1125841265,1125841268,1125841266,1125841268,1125841265,1125841258
1125841,112584,1,1125841210,1125841230,1125841253,1125841226,1125841261,1125841230,1125841233
1125841,112584,1,1125841233,1125841230,1125841226,1125841239,1125841230,1125841234,1125841226
1125841,112584,1,1125841268,1125841265,1125841266,1125841259,1125841273,1125841259,1125841265
1125841,112584,1,1125841230,1125841233,1125841210,1125841226,1125841253,1125841226,1125841233
1125841,112584,1,1125841224,1125841207,1125841209,1125841216,1125841207,1125841209,1125841236
1125841,112584,1,1125841257,1125841253,1125841261,1125841239,1125841253,1125841261,1125841239
1125841,112584,1,1125841219,1125841209,1125841235,1125841216,1125841207,,
1125841,112584,1,1125841217,1125841211,,,,,
1125841,112584,1,1125841242,1125841237,,,1125841237,1125841262,1125841273
1125841,112584,1,1125841226,1125841230,1125841253,1125841256,1125841253,1125841261,1125841259
1125841,112584,1,1125841262,1125841273,1125841242,,1125841273,1125841242,1125841265
1125841,112584,1,1125841261,1125841253,1125841239,1125841257,1125841253,1125841239,1125841257
1125841,112584,1,1125841269,1125841218,1125841212,1125841248,1125841202,1125841221,1125841265
1125841,112584,1,1125841211,1125841234,1125841232,1125841217,1125841232,1125841207,1125841234
1125841,112584,1,1125841232,1125841234,1125841211,1125841264,1125841217,1125841264,
1125841,112584,1,1125841264,1125841232,1125841267,,1125841217,1125841232,
1125851,112585,1,1125851214,1125851229,1125851233,1125851238,1125851229,1125851233,1125851223
1125851,112585,1,1125851201,1125851219,1125851205,1125851208,1125851203,1125851205,1125851206
1125851,112585,1,1125851228,1125851244,1125851242,,1125851244,1125851206,1125851242
1125851,112585,1,1125851206,1125851210,1125851209,1125851243,1125851201,1125851209,1125851202
1125851,112585,1,1125851231,1125851204,1125851202,1125851208,1125851201,1125851205,1125851204
1125851,112585,1,1125851223,1125851222,1125851212,1125851227,1125851222,1125851212,1125851214
1125851,112585,1,1125851239,1125851221,1125851237,1125851257,1125851257,1125851237,1125851207
1125851,112585,1,1125851253,1125851250,1125851254,1125851246,1125851217,1125851219,1125851234
1125851,112585,1,1125851204,1125851201,1125851202,1125851205,1125851201,1125851203,1125851205
1125851,112585,1,1125851202,1125851201,1125851203,1125851204,1125851203,1125851204,1125851206
1125851,112585,1,1125851208,1125851203,1125851204,1125851205,1125851201,1125851231,1125851205
1125851,112585,1,1125851211,1125851207,1125851219,1125851209,1125851206,1125851209,1125851207
1125851,112585,1,1125851221,1125851239,1125851237,1125851257,1125851210,1125851217,1125851206
1125851,112585,1,1125851203,1125851201,1125851205,1125851204,1125851201,1125851204,1125851205
1125851,112585,1,1125851209,1125851206,1125851207,1125851211,1125851210,1125851219,1125851261
1125851,112585,1,1125851216,1125851225,1125851205,1125851231,1125851201,1125851225,
1125851,112585,1,1125851225,1125851216,1125851231,1125851226,1125851201,1125851204,1125851216
1125881,112588,1,1125881216,1125881250,1125881232,1125881244,1125881248,1125881250,1125881229
1125881,112588,1,1125881256,1125881212,1125881268,1125881267,1125881268,1125881267,1125881212
1125881,112588,1,1125881214,1125881243,1125881259,1125881242,1125881243,1125881219,1125881242
1125881,112588,1,1125881267,1125881212,1125881268,1125881256,1125881268,1125881256,1125881212
1125881,112588,1,1125881259,1125881237,1125881226,1125881204,1125881237,1125881226,1125881204
1125881,112588,1,1125881204,1125881237,1125881227,1125881259,1125881243,1125881237,1125881226
1125881,112588,1,1125881243,1125881204,1125881226,1125881237,1125881214,1125881212,1125881226
1125881,112588,1,1125881226,1125881237,1125881204,1125881243,1125881204,1125881237,1125881243
1125882,112588,1,1125882201,1125882204,1125882205,1125882219,1125882204,1125882205,1125882219
1125891,112589,1,1125891246,1125891220,1125891232,1125891233,1125891244,1125891242,1125891247
1125891,112589,1,1125891232,1125891204,1125891220,1125891218,1125891218,1125891242,1125891204
1125891,112589,1,1125891208,1125891247,1125891211,1125891225,1125891247,1125891220,1125891211
1125891,112589,1,1125891240,1125891219,1125891248,1125891204,1125891220,1125891218,1125891232
